ss_promo_sk,avg(ss_wholesale_cost),avg(ss_list_price),avg(ws_wholesale_cost),avg(ws_list_price),sum(ss_wholesale_cost),sum(ss_list_price),sum(ws_wholesale_cost),sum(ws_list_price)
1,50.0751,75.0372,49.986800754242616,100.85103708359523,611369392,916132320,609907901,1230521726
2,50.8569,76.0829,49.03257328990228,98.23322475570032,578854640,865977925,558089975,1118093020
3,50.6805,76.0902,50.22333125389894,101.06550218340611,624254687,937237231,618623472,1244869472
4,49.7793,74.8135,50.25847728726807,102.08637236084454,593652408,892202601,599367020,1217450430
5,50.9974,76.3210,49.39695624603678,98.82666666666667,615235010,920740912,595927350,1190737800
6,50.3511,75.5439,49.86760025461489,100.76766390833863,597058550,895792055,591325416,1194893688
7,50.2707,75.4672,49.837507635919366,101.09224190592548,624029311,936802716,618651472,1254895504
8,51.2301,76.8153,50.56024844720497,102.05217391304348,624871590,936944330,616701552,1244767104
9,50.6455,75.7543,50.77181208053691,101.58485958485959,616500016,922145653,618037805,1235823092
10,51.0638,76.4055,48.578947368421055,97.75913312693498,632364555,946191355,601592940,1210631508
11,50.6338,76.0937,51.434512725015516,102.95592799503414,620510481,932519295,630323627,1261712234
12,50.1175,75.0678,49.66875391358798,99.85848465873512,613088300,918305343,607598860,1221570840
13,51.0286,76.7480,50.81082762912259,102.17299315494711,626831241,942765834,624155532,1255083648
14,50.5682,75.7406,50.482142857142854,101.4579081632653,612437184,917303298,611005164,1227984834
15,50.5579,75.6270,50.32167395377889,101.84259837601499,621724335,930006491,618819765,1252387050
16,50.7754,76.0705,50.55368289637953,103.0892634207241,617224968,924711246,614529356,1253150612
17,49.7868,74.6298,50.99038461538461,103.29102564102564,590583240,885276600,604860180,1225262936
18,50.7601,75.8234,50.378476420798066,102.04897218863361,633121428,945730736,628361366,1272837849
19,50.7055,75.7273,51.21571072319202,102.07044887780549,614298316,917436672,620478950,1236584713
20,50.6495,75.6921,50.38447204968944,102.82038533250466,636627810,951394080,633296033,1291574466
21,50.0965,75.3014,49.570123939986956,100.87801696020874,577904208,868663719,571832275,1163711150
22,49.8390,74.8918,48.94641782059001,98.690734055355,648329580,974227836,636335100,1283815848
23,49.9358,75.1030,50.32012578616352,101.17169811320754,589133160,886049760,593666780,1193603460
24,50.2749,75.2010,49.95288944723618,100.38505025125629,613247952,917294480,609320550,1224487206
25,50.7102,76.0050,49.87945034353529,102.18125,622299094,932707378,612103905,1253150850
26,50.0594,75.2735,49.6875808538163,99.71992238033636,578967724,870585066,574667977,1153323327
27,50.5053,75.4421,50.233333333333334,100.18680600914435,586731254,876428605,583190916,1163892968
28,49.4779,74.1195,48.59184914841849,96.56751824817518,616863485,924082040,605448415,1203219303
29,50.8718,76.2329,50.651486401012015,100.79190385831753,611576649,916466175,608928320,1211712608
30,50.3734,75.5597,50.47225725094577,102.01703470031546,622121188,933175438,623341563,1259134539
31,50.1577,75.3203,49.51950464396285,98.81919504643963,619523690,930320750,611641152,1220567264
32,50.5328,75.8930,50.56948933419522,100.17194570135747,598028004,898152696,598075995,1184715070
33,50.4017,75.3061,50.3756345177665,101.37880710659898,600911464,897833016,600600480,1208682745
34,50.1921,75.2511,49.50372670807453,100.08633540372671,606635120,909505100,598315407,1209670473
35,50.0518,75.5433,50.40211311373524,102.88440024860162,589262461,889374750,593386749,1211263497
36,50.5982,75.6594,50.271597265382226,101.47420758234928,634448008,948688926,630352391,1272378696
37,50.3674,75.4812,48.93625241468126,100.4771410173857,600343210,899680854,583284650,1197614675
38,50.5431,75.8728,50.9702154626109,102.45880861850443,595066956,893285286,600095691,1206294480
39,50.7159,76.3931,48.901249256395005,97.56454491374183,649034100,977637661,625811439,1248577678
40,50.0284,75.0147,50.42949130714746,101.01609787508049,587600845,881072808,592311471,1186468314
41,51.2588,76.8711,50.35089894606324,100.68319900805952,623658385,935280307,612612288,1224998286
42,50.9570,76.6229,49.69245165315034,100.99438552713661,617531705,928568207,602206920,1223918640
43,50.3944,75.2270,49.96303377947737,100.11663479923519,592066857,883817700,586999296,1176237504
44,50.1769,74.9874,50.93350221659278,102.12737642585552,596596728,891590245,605592720,1213512210
45,50.6457,75.6731,50.85286783042394,102.87344139650872,598951244,894932552,601400864,1216611357
46,50.6873,75.9668,50.70275229357798,102.7625458996328,623956875,935144790,624146571,1264224506
47,50.6156,75.6329,50.047140163419236,100.5685534591195,618868771,924751249,611918125,1228862240
48,50.8762,75.9571,49.24968474148802,99.07250945775536,623004590,930133490,603087310,1213193009
49,50.1319,75.3837,50.319486866218696,100.4541564792176,634861340,954646016,637237528,1271357448
50,50.3418,75.5256,49.30702836004932,99.01171393341554,629799892,944862038,616854888,1238684661
51,50.6112,76.0741,50.38205128205128,101.47564102564102,585262608,879712477,582239168,1172701216
52,50.9798,76.8047,51.72958257713248,104.73986690865094,654496070,986045332,663720858,1343873870
53,51.6534,77.6619,49.41243654822335,100.08692893401015,615672280,925674632,588961062,1192964931
54,50.3474,75.2643,52.306273062730625,105.26014760147602,624792126,934002042,649101600,1306239696
55,50.4136,75.6664,50.84065244667503,100.43726474278544,614507722,922321874,619712880,1224261759
56,50.5303,76.3672,50.62111801242236,102.87577639751552,618125690,934183180,619237000,1258456740
57,50.7492,76.2266,49.240271772699195,99.18777022853614,630249660,946651860,611133520,1231044610
58,49.7699,74.4029,49.91483870967742,99.77483870967743,588835700,880271350,590549944,1180451083
59,50.6806,76.0736,49.34552332912989,99.57566204287515,609195288,914427332,593147698,1196928733
60,50.7621,76.3455,50.07968369829684,100.25,627315876,943473516,618882127,1238884287
61,50.3601,75.2505,50.40587529976019,100.52817745803357,632105280,944521680,632679425,1261799525
62,50.0826,74.9406,50.82338461538462,102.48861538461539,615101500,920401625,624200104,1258739552
63,50.5587,75.5640,50.03683241252302,100.50644567219153,633431763,946714527,626893410,1259208975
64,50.3827,75.7527,49.03908188585608,98.79169249845009,607117398,912829980,590194766,1189714566
65,50.6736,76.0434,49.52808988764045,100.07365792759052,620533098,931204152,606505536,1225470792
