a_origin_state_abr,a_unique_carrier,a_taxi_out,a_air_time,a_distance,a_origin_state_abr-a_unique_carrier,flights2-flight-a_rate
AK,9E,16.348793,1212.644,744.167,AK-9E,1.0
AK,9E,16.389887,1214.1808,753.9437,AK-9E,1.0
AK,9E,16.635715,1212.371,743.62286,AK-9E,1.0
AK,9E,16.383387,1211.2551,742.6046,AK-9E,1.0
AK,9E,16.515846,1212.8855,746.7081,AK-9E,1.0
AK,9E,16.433651,1212.3153,743.7439,AK-9E,1.0
AK,9E,16.551493,1212.4371,746.0656,AK-9E,1.0
AK,9E,16.434963,1211.4352,740.73596,AK-9E,1.0
AK,9E,16.652552,1213.1493,751.6345,AK-9E,1.0
AK,9E,16.371105,1212.5186,746.1058,AK-9E,1.0
AK,9E,16.549767,1212.7881,746.66876,AK-9E,1.0
AK,9E,16.425581,1211.5706,743.27313,AK-9E,1.0
AK,9E,16.512316,1213.4684,750.87744,AK-9E,1.0
AK,9E,16.493435,1214.2438,754.01447,AK-9E,1.0
AK,9E,16.57182,1212.212,745.9023,AK-9E,1.0
AK,9E,16.410887,1212.4631,749.1563,AK-9E,1.0
AK,AA,16.591036,1215.2113,743.8315,AK-AA,0.1480082417582418
AK,AA,16.626837,1217.1892,756.38684,AK-AA,0.1480082417582418
AK,AA,16.637268,1215.0778,744.65137,AK-AA,0.1480082417582418
AK,AA,16.635637,1215.6721,749.87714,AK-AA,0.1480082417582418
AK,AA,16.636328,1217.2063,752.1022,AK-AA,0.1480082417582418
AK,AA,16.51036,1216.8652,756.4138,AK-AA,0.1480082417582418
AK,AA,16.645065,1215.5428,748.01355,AK-AA,0.1480082417582418
AK,AA,16.543262,1215.8887,746.90045,AK-AA,0.1480082417582418
AK,AA,16.578287,1215.7052,746.6941,AK-AA,0.1480082417582418
AK,AA,16.604286,1215.7277,748.4311,AK-AA,0.1480082417582418
AK,AA,16.57464,1216.0449,752.8784,AK-AA,0.1480082417582418
AK,AA,16.442772,1216.8567,752.10986,AK-AA,0.1480082417582418
AK,AA,16.396152,1216.0481,751.4123,AK-AA,0.1480082417582418
AK,AA,16.671968,1215.7882,746.56744,AK-AA,0.1480082417582418
AK,AA,16.743404,1216.235,746.4183,AK-AA,0.1480082417582418
AK,AA,16.587486,1216.7655,750.56854,AK-AA,0.1480082417582418
AK,AA,16.635519,1215.9996,749.7768,AK-AA,0.1480082417582418
AK,AA,16.543968,1216.7655,753.3828,AK-AA,0.1480082417582418
AK,AA,16.661957,1216.3365,754.76294,AK-AA,0.1480082417582418
