m_movieid,movielen-1m-movies_rate
1,1.0
6,1.0
10,1.0
21,1.0
32,1.0
34,1.0
39,1.0
47,1.0
50,1.0
95,1.0
110,1.0
141,1.0
150,1.0
153,1.0
161,1.0
165,1.0
185,1.0
208,1.0
231,1.0
253,1.0
260,1.0
288,1.0
292,1.0
296,1.0
316,1.0
318,1.0
329,1.0
339,1.0
344,1.0
349,1.0
356,1.0
357,1.0
364,1.0
367,1.0
377,1.0
380,1.0
434,1.0
454,1.0
457,1.0
480,1.0
500,1.0
527,1.0
539,1.0
541,1.0
586,1.0
587,1.0
588,1.0
589,1.0
590,1.0
592,1.0
593,1.0
595,1.0
597,1.0
608,1.0
648,1.0
733,1.0
736,1.0
780,1.0
858,1.0
1036,1.0
1073,1.0
1089,1.0
1097,1.0
1136,1.0
1193,1.0
1196,1.0
1197,1.0
1198,1.0
1200,1.0
1210,1.0
1214,1.0
1221,1.0
1240,1.0
1265,1.0
1270,1.0
1291,1.0
1527,1.0
1580,1.0
1617,1.0
1704,1.0
1721,1.0
1923,1.0
2028,1.0
2396,1.0
2571,1.0
2628,1.0
2716,1.0
2762,1.0
2858,1.0
2959,1.0
2997,1.0
3578,1.0
4306,1.0
4993,1.0
5952,1.0
