ss_store_sk,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_sales_price,tpcds-06667g-ssales_store_nooutlier_rate
1.0,552.44543,76.528336,39.187107,1939.2975,0.003014126915083853
1.0,1308.7638,75.978546,37.506668,1842.9258,0.003014126915083853
1.0,840.9979,75.59172,36.774685,1729.6337,0.003014126915083853
1.0,355.71832,74.31508,37.595604,1819.5311,0.003014126915083853
1.0,60.433384,71.411674,35.818695,1757.6992,0.003014126915083853
1.0,811.88605,74.336174,37.60592,1855.8077,0.003014126915083853
1.0,756.40485,75.44698,38.669388,1926.1699,0.003014126915083853
1.0,1880.2754,77.805214,39.061584,1854.725,0.003014126915083853
1.0,1194.2075,77.64934,38.492546,2054.5232,0.003014126915083853
1.0,357.8706,73.325134,38.258137,1903.7467,0.003014126915083853
1.0,620.0289,76.01764,38.34045,1982.7583,0.003014126915083853
1.0,1349.4185,76.75448,39.355587,2059.1108,0.003014126915083853
1.0,459.6961,74.54942,38.17438,1883.4736,0.003014126915083853
1.0,513.179,72.1202,35.804634,1682.3943,0.003014126915083853
1.0,645.18866,75.97742,37.855953,1865.9435,0.003014126915083853
1.0,1453.2891,70.64682,33.785034,1696.0042,0.003014126915083853
1.0,1269.0913,74.07791,36.808685,1856.7914,0.003014126915083853
1.0,696.64795,76.83906,39.199924,1863.5559,0.003014126915083853
1.0,776.6754,74.5889,38.948116,1977.9807,0.003014126915083853
1.0,538.8551,73.43979,36.384052,1863.8374,0.003014126915083853
1.0,90.36959,73.19595,36.092712,1751.5692,0.003014126915083853
1.0,631.5406,76.459274,41.051052,1909.7126,0.003014126915083853
1.0,2468.181,76.595085,39.47779,1724.8542,0.003014126915083853
1.0,652.7865,74.88889,37.997154,1877.7998,0.003014126915083853
1.0,1231.376,77.019394,39.138187,1929.123,0.003014126915083853
1.0,377.52924,75.57056,38.444954,1924.4476,0.003014126915083853
1.0,307.82278,72.95664,35.72017,1633.1246,0.003014126915083853
1.0,1313.7056,76.62809,39.394867,2171.8628,0.003014126915083853
1.0,1657.5082,73.60788,36.886677,1803.7288,0.003014126915083853
1.0,214.13885,75.2331,38.428112,1906.7319,0.003014126915083853
1.0,884.2803,75.07597,38.453682,1987.777,0.003014126915083853
1.0,1632.1427,77.47353,37.20545,1688.0416,0.003014126915083853
1.0,540.0375,76.33775,38.037327,1942.4398,0.003014126915083853
1.0,302.89386,73.781975,36.217445,1856.6007,0.003014126915083853
1.0,349.09412,74.67351,36.361897,1682.7148,0.003014126915083853
1.0,544.5776,74.491615,38.844147,2003.0349,0.003014126915083853
1.0,915.8146,75.87659,39.014603,1955.3578,0.003014126915083853
1.0,471.57645,74.79764,38.892246,1953.5238,0.003014126915083853
1.0,539.29065,73.57172,38.119724,1780.5092,0.003014126915083853
1.0,511.66455,73.50348,36.2476,1795.9465,0.003014126915083853
1.0,1866.3375,75.14812,37.61892,1811.0299,0.003014126915083853
1.0,927.1261,74.46069,38.57341,1973.8091,0.003014126915083853
1.0,1112.5591,73.66793,36.585598,1624.234,0.003014126915083853
1.0,693.38916,75.63814,38.69193,1935.1477,0.003014126915083853
1.0,461.54382,74.85946,39.73818,1946.4355,0.003014126915083853
1.0,477.77,75.65273,38.72884,1910.9468,0.003014126915083853
1.0,340.28247,75.260864,37.17337,1845.7535,0.003014126915083853
1.0,727.76324,75.65641,38.1617,1977.2837,0.003014126915083853
1.0,950.83746,76.308304,39.18315,1915.0302,0.003014126915083853
1.0,1824.2086,75.261696,38.455296,1943.452,0.003014126915083853
1.0,1377.6238,76.33964,38.70764,1892.9377,0.003014126915083853
1.0,578.1321,75.5011,38.293156,1912.2153,0.003014126915083853
1.0,684.01825,75.04221,38.439793,1923.1492,0.003014126915083853
1.0,724.1722,74.769196,38.056606,1826.0504,0.003014126915083853
1.0,638.8184,74.80301,38.814884,1886.2937,0.003014126915083853
1.0,676.8212,76.52035,39.32513,2003.6866,0.003014126915083853
1.0,803.11053,75.8606,38.40326,1904.3402,0.003014126915083853
1.0,621.26776,75.38581,38.873,1950.5293,0.003014126915083853
1.0,425.58728,73.47718,36.262844,1769.7421,0.003014126915083853
1.0,453.3324,74.965515,37.882263,1894.9933,0.003014126915083853
1.0,983.86554,74.29698,35.888145,1696.8677,0.003014126915083853
1.0,526.22943,75.340004,39.190777,1972.8035,0.003014126915083853
1.0,636.5302,75.13061,38.557663,1929.065,0.003014126915083853
1.0,1886.7842,74.62651,37.935104,1928.9366,0.003014126915083853
1.0,418.52963,75.884476,38.597122,1895.9281,0.003014126915083853
1.0,1054.3484,75.38612,36.934875,1750.1292,0.003014126915083853
1.0,785.98065,74.49037,38.909184,1948.9421,0.003014126915083853
1.0,133.30455,74.57006,39.009323,1942.2012,0.003014126915083853
1.0,300.76535,74.87266,35.22831,1721.7134,0.003014126915083853
1.0,1311.9775,76.82414,40.467697,2170.6265,0.003014126915083853
1.0,404.6702,75.10013,37.890812,1957.5936,0.003014126915083853
1.0,722.5062,73.683586,37.938313,1942.6342,0.003014126915083853
1.0,188.6678,75.734406,39.643127,2004.8923,0.003014126915083853
1.0,707.83356,75.455765,38.678852,1912.4276,0.003014126915083853
1.0,464.44467,75.805145,38.316357,1938.4419,0.003014126915083853
1.0,588.8887,74.874344,37.32312,1844.3215,0.003014126915083853
1.0,665.6808,75.4293,38.81011,1874.0165,0.003014126915083853
1.0,372.47894,74.45885,36.84414,1777.6409,0.003014126915083853
1.0,2674.8376,76.90141,38.96082,1793.1191,0.003014126915083853
1.0,1369.5111,76.61579,37.792656,1855.2686,0.003014126915083853
1.0,550.8994,75.336006,38.277176,1987.0374,0.003014126915083853
1.0,565.07104,75.44844,37.41697,1789.7211,0.003014126915083853
1.0,949.5622,72.97115,35.63637,1641.8402,0.003014126915083853
1.0,1474.1356,77.094086,39.225815,1893.1786,0.003014126915083853
1.0,682.1491,75.247894,38.523315,1817.5299,0.003014126915083853
1.0,1043.5015,76.24813,39.074234,1972.3448,0.003014126915083853
1.0,530.7611,75.043526,37.90547,1886.544,0.003014126915083853
1.0,278.03137,75.10774,38.105892,1969.4413,0.003014126915083853
1.0,458.93472,74.82471,39.391014,1965.5563,0.003014126915083853
1.0,575.90564,75.70622,38.303032,1886.7751,0.003014126915083853
1.0,922.21576,75.293915,38.57332,2002.7499,0.003014126915083853
1.0,335.09283,74.34356,37.331936,1767.8065,0.003014126915083853
1.0,801.90247,74.80028,35.57601,1755.3838,0.003014126915083853
1.0,477.26288,75.0826,38.586647,1882.4408,0.003014126915083853
1.0,115.57918,76.81569,39.91005,1916.0428,0.003014126915083853
1.0,28.070143,75.225624,38.06463,1927.4108,0.003014126915083853
1.0,314.94653,75.143135,37.21435,1858.4579,0.003014126915083853
1.0,860.5097,75.25765,38.856865,1839.8514,0.003014126915083853
1.0,751.104,75.57899,39.54091,2050.13,0.003014126915083853
1.0,1559.9502,76.48432,38.872562,1892.6426,0.003014126915083853
1.0,475.7819,71.54856,36.411655,1888.4628,0.003014126915083853
1.0,1033.5209,75.9927,38.59584,1835.4141,0.003014126915083853
1.0,441.63742,76.192726,38.25317,1824.0892,0.003014126915083853
1.0,139.36295,73.91192,35.636883,1764.1417,0.003014126915083853
1.0,787.3866,75.96913,38.47967,1920.9816,0.003014126915083853
1.0,453.96048,75.28355,37.188755,1815.216,0.003014126915083853
1.0,2364.236,75.68885,38.922592,1949.824,0.003014126915083853
1.0,498.55008,74.75075,39.47647,1966.9951,0.003014126915083853
1.0,29.15517,74.41488,39.966026,1794.7656,0.003014126915083853
1.0,616.21265,75.242,38.415802,1932.8054,0.003014126915083853
1.0,2265.7969,76.28849,37.992073,1807.6138,0.003014126915083853
