ss_store_sk,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_sales_price,tpcds-06667g-ssales_store_outlier_rate
1.0,48.547577,74.18295,36.76587,1844.6984,0.0029833512155043257
1.0,50.999054,74.07511,36.418026,1834.7931,0.0029833512155043257
1.0,51.340336,74.79511,37.05295,1833.2953,0.0029833512155043257
1.0,50.612083,74.00687,36.727333,1820.4708,0.0029833512155043257
1.0,50.732082,75.771286,38.319775,2004.382,0.0029833512155043257
1.0,51.020473,75.54015,37.460526,1977.1133,0.0029833512155043257
1.0,50.83896,74.43173,36.919884,1845.3954,0.0029833512155043257
1.0,51.8552,74.54191,37.966576,1993.6925,0.0029833512155043257
1.0,49.64007,72.92434,34.715393,1736.1713,0.0029833512155043257
1.0,46.233788,72.29763,33.875244,1799.1392,0.0029833512155043257
1.0,46.475193,74.10971,35.57263,1873.1299,0.0029833512155043257
1.0,52.051826,75.558395,38.068703,1968.5425,0.0029833512155043257
1.0,47.939064,74.232765,35.327995,1768.6744,0.0029833512155043257
1.0,45.49627,72.20445,35.48806,1757.7719,0.0029833512155043257
1.0,49.805733,73.8926,35.706573,1832.2743,0.0029833512155043257
1.0,54.740036,76.29285,36.851624,1898.6987,0.0029833512155043257
1.0,49.37746,72.870926,36.593536,1940.7391,0.0029833512155043257
1.0,48.991932,75.15737,37.555695,1931.8992,0.0029833512155043257
1.0,50.200253,73.77219,35.590538,1814.8156,0.0029833512155043257
1.0,49.992878,74.418526,37.08508,1843.0183,0.0029833512155043257
1.0,52.367393,74.452576,36.31269,1984.7377,0.0029833512155043257
1.0,51.08187,74.8175,36.683964,1825.205,0.0029833512155043257
1.0,52.102146,76.849724,38.93287,2005.0194,0.0029833512155043257
1.0,54.91182,76.41247,37.59117,1992.4236,0.0029833512155043257
1.0,54.081223,75.91532,38.36141,1861.6149,0.0029833512155043257
1.0,52.997444,74.89143,37.122288,1821.5947,0.0029833512155043257
1.0,50.743225,74.51463,36.681927,1857.1548,0.0029833512155043257
1.0,48.599823,72.774284,34.374847,1720.104,0.0029833512155043257
1.0,51.337196,76.02417,36.012764,1867.0052,0.0029833512155043257
1.0,48.05986,75.35366,36.09825,2020.3208,0.0029833512155043257
1.0,50.294796,74.52814,36.531322,1867.0303,0.0029833512155043257
1.0,50.892944,74.097145,37.369854,1852.7124,0.0029833512155043257
1.0,50.41424,74.81296,36.97125,1838.6523,0.0029833512155043257
1.0,49.96541,73.80443,36.36676,1807.4471,0.0029833512155043257
1.0,50.743755,73.633255,35.52802,1762.6237,0.0029833512155043257
1.0,52.3005,74.70919,37.514942,1903.8055,0.0029833512155043257
1.0,50.43022,73.99396,37.315903,1871.7559,0.0029833512155043257
