p_partkey,p_brand,p_retailprice,p_partkey_bucket,p_partkey_bucket-p_brand,tpch-2g-parts_rate
,Brand#11,1133.4787641390274,,nan-Brand#11,
,Brand#11,1320.8657498131793,,nan-Brand#11,
395144.0,Brand#11,1944.8230539330152,2.0,2.0-Brand#11,
,Brand#11,1117.3906402360421,,nan-Brand#11,
,Brand#11,1956.3361660734295,,nan-Brand#11,
394704.0,Brand#11,1532.522144835005,0.0,0.0-Brand#11,
263440.0,Brand#11,1286.3179543928084,4.0,4.0-Brand#11,
,Brand#11,1291.15573661202,,nan-Brand#11,
,Brand#11,1534.0240754132233,,nan-Brand#11,
,Brand#11,1549.572925175536,,nan-Brand#11,
,Brand#11,1538.4281581460211,,nan-Brand#11,
395184.0,Brand#11,1946.2277851854192,0.0,0.0-Brand#11,
,Brand#11,1755.2086353773325,,nan-Brand#11,
,Brand#11,1741.8934234569183,,nan-Brand#11,
,Brand#11,1942.7322347794861,,nan-Brand#11,
393488.0,Brand#11,1524.0167628968695,2.0,2.0-Brand#11,
,Brand#11,1730.5264990919013,,nan-Brand#11,
,Brand#11,1958.2644928130278,,nan-Brand#11,
395104.0,Brand#11,1119.2054003462665,4.0,4.0-Brand#11,
,Brand#11,1954.257660276478,,nan-Brand#11,
,Brand#11,1539.5484960357537,,nan-Brand#11,
,Brand#11,1121.5791753757894,,nan-Brand#11,
284160.0,Brand#11,1531.324017834757,0.0,0.0-Brand#11,
,Brand#11,1526.6584636201537,,nan-Brand#11,
,Brand#11,1952.7588488161405,,nan-Brand#11,
,Brand#11,1952.4143830160983,,nan-Brand#11,
,Brand#11,1736.120940941194,,nan-Brand#11,
394608.0,Brand#11,1533.372969551627,0.0,0.0-Brand#11,
394640.0,Brand#11,1524.1444494781658,2.0,2.0-Brand#11,
394512.0,Brand#11,1299.5518181860539,0.0,0.0-Brand#11,
394032.0,Brand#11,1958.476318034027,0.0,0.0-Brand#11,
394544.0,Brand#11,1747.556106660874,2.0,2.0-Brand#11,
395024.0,Brand#11,1941.7047489111867,2.0,2.0-Brand#11,
395160.0,Brand#11,1730.2742656689372,0.0,0.0-Brand#11,
263440.0,Brand#11,1731.3843538255894,4.0,4.0-Brand#11,
,Brand#11,1973.854238859274,,nan-Brand#11,
393632.0,Brand#11,1321.098152049697,2.0,2.0-Brand#11,
393904.0,Brand#11,1943.2382100728826,4.0,4.0-Brand#11,
,Brand#11,1289.6750683139194,,nan-Brand#11,
394624.0,Brand#11,1299.885961869368,4.0,4.0-Brand#11,
394688.0,Brand#11,1738.2830650843057,2.0,2.0-Brand#11,
395088.0,Brand#11,1304.2764983660052,0.0,0.0-Brand#11,
395152.0,Brand#11,1948.0117650187317,4.0,4.0-Brand#11,
,Brand#11,1946.8875070008733,,nan-Brand#11,
393616.0,Brand#11,1754.1592404733944,4.0,4.0-Brand#11,
,Brand#11,1932.6170481587449,,nan-Brand#11,
,Brand#11,1747.1921594640964,,nan-Brand#11,
395248.0,Brand#11,1945.9376228288038,4.0,4.0-Brand#11,
,Brand#11,1960.993617320144,,nan-Brand#11,
,Brand#11,1752.3173515311682,,nan-Brand#11,
395152.0,Brand#11,1735.6275778316692,4.0,4.0-Brand#11,
,Brand#11,1535.5454104005685,,nan-Brand#11,
,Brand#11,1530.0278223577475,,nan-Brand#11,
393616.0,Brand#11,1289.738856525272,4.0,4.0-Brand#11,
395152.0,Brand#11,1530.4380116346686,4.0,4.0-Brand#11,
398608.0,Brand#11,1288.377224160453,4.0,4.0-Brand#11,
394512.0,Brand#11,1292.291080304422,0.0,0.0-Brand#11,
,Brand#11,1751.8793708174887,,nan-Brand#11,
393600.0,Brand#11,1517.2201685471632,0.0,0.0-Brand#11,
,Brand#11,1292.439267846044,,nan-Brand#11,
393488.0,Brand#11,1520.768718356064,2.0,2.0-Brand#11,
395024.0,Brand#11,1956.0782813343117,2.0,2.0-Brand#11,
,Brand#11,1945.3485919140796,,nan-Brand#11,
,Brand#11,1966.6209847069663,,nan-Brand#11,
394752.0,Brand#11,1538.7090325713637,0.0,0.0-Brand#11,
394528.0,Brand#11,1124.679224068845,4.0,4.0-Brand#11,
393264.0,Brand#11,1731.8069320501354,0.0,0.0-Brand#11,
,Brand#11,1308.8298200005577,,nan-Brand#11,
395024.0,Brand#11,1743.0698872822913,2.0,2.0-Brand#11,
394576.0,Brand#11,1754.0974296740837,4.0,4.0-Brand#11,
393488.0,Brand#11,1289.9338749719977,2.0,2.0-Brand#11,
,Brand#11,1127.7665406326946,,nan-Brand#11,
,Brand#11,1528.228138156308,,nan-Brand#11,
393616.0,Brand#11,1132.1751016167013,4.0,4.0-Brand#11,
395184.0,Brand#11,1744.2809950521605,0.0,0.0-Brand#11,
,Brand#11,1281.9123960430982,,nan-Brand#11,
,Brand#11,1941.185792528945,,nan-Brand#11,
395152.0,Brand#11,1324.3016743504154,4.0,4.0-Brand#11,
,Brand#11,1765.20332370249,,nan-Brand#11,
394528.0,Brand#11,1517.9610491127678,4.0,4.0-Brand#11,
,Brand#11,1709.3936506288653,,nan-Brand#11,
,Brand#11,1955.6090336503803,,nan-Brand#11,
394528.0,Brand#11,1529.2479468439828,4.0,4.0-Brand#11,
393488.0,Brand#11,1928.8514187282556,2.0,2.0-Brand#11,
,Brand#11,1535.2008648913811,,nan-Brand#11,
393712.0,Brand#11,1736.1027302396562,4.0,4.0-Brand#11,
,Brand#11,1116.528563536989,,nan-Brand#11,
,Brand#11,1537.4300709649679,,nan-Brand#11,
393520.0,Brand#11,1308.405879528595,4.0,4.0-Brand#11,
,Brand#11,1736.2782854767186,,nan-Brand#11,
,Brand#11,1753.4964248780552,,nan-Brand#11,
,Brand#11,1545.4013905095799,,nan-Brand#11,
,Brand#11,1950.2693538082713,,nan-Brand#11,
,Brand#11,1279.3639740239846,,nan-Brand#11,
399008.0,Brand#11,1768.1286217075842,2.0,2.0-Brand#11,
394528.0,Brand#11,1527.1095135410671,4.0,4.0-Brand#11,
393320.0,Brand#11,1736.6278638073704,2.0,2.0-Brand#11,
,Brand#11,1533.088161483226,,nan-Brand#11,
399296.0,Brand#11,1143.8197314548568,2.0,2.0-Brand#11,
394576.0,Brand#11,1718.6814686748032,4.0,4.0-Brand#11,
,Brand#11,1531.3997551195341,,nan-Brand#11,
393632.0,Brand#11,1530.7475075634734,2.0,2.0-Brand#11,
,Brand#11,1530.8845988346009,,nan-Brand#11,
395072.0,Brand#11,1951.8897182233843,2.0,2.0-Brand#11,
,Brand#11,1301.6431933602155,,nan-Brand#11,
394640.0,Brand#11,1306.3888638604185,2.0,2.0-Brand#11,
,Brand#11,1972.1592355180287,,nan-Brand#11,
,Brand#11,1754.2280205170782,,nan-Brand#11,
,Brand#11,1116.5826554634602,,nan-Brand#11,
